,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
Observer ID,,1/1,,,2/3,,,3/23,,,4/35,,,5/7,,,6/36,,,7/37,,,9/38,,,10/10,,,11/39,,,12/40,,,13/41,,,14/8,,,15/42,,,16/13,,,17/43,,,21/17,,,22/18,,,24/15,,,25/27,,,26/46,,,27/47,,,28/48,,,29/49,,,30/50,,,31/51,,,32/52,,,33/35,,,34/2,,,35/54,,,36/55,,,38/1,,,39/57,,,40/4,,,41/58,,,42/59,,,43/60,,,44/61,,,45/24,,,46/62,,,48/64,,,49/65,,,50/66,,,51/49,,,52/35,,,53/16,,,54/67,,,55/68,,,56/69,,,58/71,,,59/12,,,60/3,,,61/72,,
Sex,,M,,,M,,,F,,,F,,,F,,,M,,,F,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,F,,,F,,,M,,,F,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,f,,,M,,,M,,,F,,,M,,,F,,,M,,,M,,,F,,,M,,,M,,,F,,,F,,,M,,,F,,,F,,,M,,,M,,,M,,,F,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,
Age,,54,,,30,,,19,,,16,,,27,,,28,,,17,,,29,,,27,,,37,,,32,,,34,,,49,,,27,,,50,,,34,,,29,,,23,,,44,,,38,,,30,,,43,,,28,,,28,,,22,,,21,,,31,,,28,,,30,,,22,,,20,,,55,,,22,,,22,,,44,,,49,,,19,,,29,,,50,,,24,,,25,,,38,,,37,,,28,,,17,,,50,,,23,,,35,,,37,,,50,,,39,,,31,,,17,,
Conditions,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,I,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,,II,,
Name,,Dr. W. S. Stiles,,,Dr. J. M. Burch,,,Miss W. F. Earl,,,Miss P. A. Gray,,,Miss E. M. Kinrade,,,Mr. K. J. McCree,,,Miss N. M. Geragling,,,Dr. G. S. Brindley,,,Mr. A. W. Tarrant,,,Mr. J. S. T. Looms,,,Mr. A. Jackson,,,Mr. J. Woodhouse,,,Mr. G. E. V. Lambert,,,Mr. M. C. Boshoff,,,Miss D. L. Tilleard,,,Miss E. M. Love,,,Mr. R. G. Berry,,,Miss D. C. Marks,,,Dr. M. H. Pirenne,,,Mr. W. G. Griffin,,,Dr. F. H. C. Marriott,,,Mr. R. T. Peters,,,Mr. E. Archbold,,,Dr. R. N. Wilson,,,Mr. M. Gadsden,,,Miss J. M. Vigil,,,Mr. P. S. Williams,,,Dr. J. E. Gibbs,,,Miss P. Fowler,,,Mr. F. J. J. Clarke,,,Mrs. Bowles,,,Dr. W. S. Stiles,,,Mr. R. B. Colkin,,,Mrs. J. A. Redhouse,,,Mr. M. G. Clarke,,,Mr. Warburton,,,Miss J. L. Pearson,,,Mrs. Wood,,,Mr. J. S. Preston,,,Mrs. P. Dent,,,Miss P. M. Excell,,,Mr. Marriner,,,Mr. H. F. Stephenson,,,Dr. R. N. Wilson,,,Miss P. A. Gray,,,Prof. W. D. Wright,,,Mr. J. Hillman,,,Mr. K. H. Spring,,,Mr. F. R. Tolmon,,,Mr. S. S. Beggs,,,Mr. J. B. Collins,,,Dr. J. M. Burch,,,Mr. A. D. L. Scott,,
1/cm,nm,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B,R,G,B
25500,392.16,0.0002499354,-0.0000789779,0.0016437960,0.0022857340,-0.0007583052,0.0117163200,0.0002283792,-0.0000726926,0.0009877560,0.0029469850,-0.0006789576,0.0099052800,0.0042957040,-0.0011973240,0.0229891200,0.0019303480,-0.0004457496,0.0080369520,0.0019798690,-0.0005647236,0.0082125120,0.0004332602,-0.0001068396,0.0016779840,0.0036703800,-0.0008624904,0.0175467600,0.0015419480,-0.0005014920,0.0113467200,0.0002837262,-0.0000932927,0.0018932760,0.0011467510,-0.0002832624,0.0049119840,0.0008505960,-0.0002816508,0.0050921640,0.0035091940,-0.0007128012,0.0126495600,0.0016594390,-0.0004479300,0.0096188400,0.0004051012,-0.0001330992,0.0028607040,0.0006711552,-0.0002333028,0.0040055400,0.0023886600,-0.0007001928,0.0095356800,0.0010515930,-0.0003520872,0.0064994160,0.0015322380,-0.0003870684,0.0060309480,0.0029100870,-0.0005688948,0.0113467200,0.0008519554,-0.0002829780,0.0043428000,0.0018759720,-0.0005879496,0.0088602360,0.0010263470,-0.0003262068,0.0044832480,0.0031149560,-0.0008124750,0.0110040000,0.0093121600,-0.0021383400,0.0276108700,0.0037258260,-0.0006997176,0.0150754800,0.0024944660,-0.0008176560,0.0095551400,0.0033025460,-0.0005322300,0.0132231400,0.0036527140,-0.0007504914,0.0127463000,0.0073092760,-0.0015420540,0.0266388500,0.0002289560,-0.0001018302,0.0013846700,0.0013342940,-0.0005098104,0.0075661670,0.0072736820,-0.0015900960,0.0241354400,0.0072727200,-0.0024981840,0.0308478800,0.0002221258,-0.0000991926,0.0011297440,,,,0.0004721496,-0.0001707846,0.0019495420,0.0002818660,-0.0001341408,0.0015020460,0.0004927364,-0.0002217468,0.0022567370,0.0013275600,-0.0003062442,0.0057706810,0.0013872040,-0.0004801374,0.0068664960,0.0014603160,-0.0003784014,0.0053140150,0.0014968720,-0.0004760868,0.0060980500,0.0047186100,-0.0014374920,0.0150754800,0.0014737840,-0.0004800432,0.0076862940,0.0040182740,-0.0006582696,0.0119393400,0.0014343420,-0.0007203474,0.0061200580,0.0014208740,-0.0003959226,0.0049783930,0.0006430970,-0.0002724264,0.0041741840,0.0038143300,-0.0009090300,0.0158824400,0.0023203440,-0.0008620242,0.0115175200,0.0009480510,-0.0003225408,0.0035854700
25000,400.00,0.0022470380,-0.0007581592,0.0153314400,0.0101148800,-0.0034552720,0.0533400000,0.0019883400,-0.0005986290,0.0086593680,0.0117269300,-0.0027550480,0.0390855200,0.0136618200,-0.0043597280,0.0818286400,0.0073140980,-0.0017932820,0.0341782400,0.0082890260,-0.0024351540,0.0369112800,0.0027708480,-0.0008508972,0.0131470400,0.0136404400,-0.0035938580,0.0657250400,0.0068822220,-0.0023340800,0.0527100800,0.0023753180,-0.0006577104,0.0151180800,0.0064717260,-0.0016859560,0.0287121600,0.0042385850,-0.0015025640,0.0278790400,0.0143673600,-0.0026623100,0.0539394400,0.0066064200,-0.0017026280,0.0430580800,0.0025345990,-0.0009312354,0.0191516000,0.0044213840,-0.0014504640,0.0267309600,0.0107327600,-0.0032677120,0.0441350400,0.0055010740,-0.0018568440,0.0339648800,0.0079747400,-0.0023632560,0.0339140800,0.0107755200,-0.0024132720,0.0434644800,0.0050146790,-0.0017109640,0.0260705600,0.0095173070,-0.0029676160,0.0449173600,0.0057619100,-0.0019454140,0.0269748000,0.0121564200,-0.0041035960,0.0407725500,0.0251592400,-0.0063050960,0.0865592000,0.0135741400,-0.0030997120,0.0525161000,0.0112677000,-0.0037700040,0.0471569000,0.0120083000,-0.0025236960,0.0495726000,0.0149389600,-0.0031142160,0.0559569500,0.0220910400,-0.0060056920,0.0858994500,0.0023328900,-0.0009814028,0.0141085000,0.0066675160,-0.0026065760,0.0333833500,0.0232760000,-0.0060222680,0.0819612500,0.0231173000,-0.0065319800,0.1069810000,0.0019118060,-0.0008231020,0.0114593500,,,,0.0031412020,-0.0013478360,0.0151539500,0.0020736800,-0.0009207968,0.0123830000,0.0042753780,-0.0014742280,0.0154584500,0.0064950620,-0.0018451160,0.0312924500,0.0081719920,-0.0024459960,0.0405797000,0.0077477340,-0.0020502440,0.0320435500,0.0075393080,-0.0025444160,0.0320943000,0.0150447600,-0.0041160280,0.0616714000,0.0074652480,-0.0025340560,0.0375042500,0.0166846600,-0.0026034680,0.0527800000,0.0073435780,-0.0035700560,0.0314650000,0.0071277460,-0.0019797960,0.0282373000,0.0048794960,-0.0019829040,0.0310285500,0.0115533600,-0.0032395720,0.0658227500,0.0110032000,-0.0036902320,0.0491463000,0.0048657420,-0.0015022000,0.0193662000
24500,408.16,0.0113847300,-0.0041760000,0.0866012600,0.0308662200,-0.0123087600,0.1710240000,0.0139551300,-0.0041060520,0.0634112200,0.0352144800,-0.0081807840,0.1294896000,0.0346682700,-0.0120895200,0.2192772000,0.0271391400,-0.0066742920,0.1376336000,0.0310161600,-0.0103784000,0.1412984000,0.0165362400,-0.0053202240,0.0759529800,0.0391022100,-0.0112125600,0.2162232000,0.0238833000,-0.0096444720,0.1987136000,0.0124236000,-0.0038701080,0.0815010800,0.0239582700,-0.0065604960,0.1109620000,0.0153474300,-0.0055206720,0.1125908000,0.0422402400,-0.0099566280,0.1810004000,0.0221589900,-0.0063297720,0.1505622000,0.0142657200,-0.0050717520,0.1052612000,0.0176929200,-0.0064164240,0.1099440000,0.0331902900,-0.0109515600,0.1476100000,0.0212914800,-0.0077443920,0.1402804000,0.0278567100,-0.0081379800,0.1168664000,0.0332545500,-0.0077673600,0.1510712000,0.0219340800,-0.0048159720,0.1014946000,0.0286064100,-0.0100004800,0.1502568000,0.0238618800,-0.0085409640,0.1229744000,0.0435843600,-0.0151263000,0.1547864000,0.0559032800,-0.0190776600,0.2296471000,0.0484761600,-0.0132432300,0.2007766000,0.0375353600,-0.0164640000,0.1626878000,0.0305921600,-0.0072554790,0.1575215000,0.0453201600,-0.0129448200,0.1815296000,0.0574918000,-0.0198185400,0.2328887000,0.0119296800,-0.0043989750,0.0851021300,0.0253742400,-0.0097117020,0.1244977000,0.0588699200,-0.0174106800,0.2179976000,0.0524316800,-0.0178119900,0.2618605000,0.0123084000,-0.0046850370,0.0794901100,0.0436369600,-0.0121113300,0.1840621000,0.0161271600,-0.0067646460,0.0820428700,0.0128344000,-0.0058519230,0.0760459100,0.0200616400,-0.0066247020,0.0873915100,0.0239856000,-0.0064981350,0.1289549000,0.0273625200,-0.0097827030,0.1597501000,0.0300556400,-0.0083904660,0.1385784000,0.0274361600,-0.0107633400,0.1336147000,0.0470559600,-0.0161244300,0.1973324000,0.0256162000,-0.0087753120,0.1525578000,0.0537466800,-0.0121216200,0.1789971000,0.0275939600,-0.0129242400,0.1262198000,0.0290352000,-0.0088175010,0.1200405000,0.0210189600,-0.0080035620,0.1314874000,0.0312444000,-0.0105678300,0.1867972000,0.0368936400,-0.0141693300,0.1624852000,0.0237857200,-0.0100214300,0.1008138000
24000,416.67,0.0305021400,-0.0119183600,0.2725254000,0.0604118000,-0.0289401700,0.4231236000,0.0476734800,-0.0148051600,0.2487838000,0.0830741600,-0.0305176000,0.4113534000,0.0588142200,-0.0253935300,0.4508892000,0.0637233400,-0.0218468900,0.4130636000,0.0736473800,-0.0293731900,0.4445514000,0.0419179600,-0.0131452500,0.2432508000,0.0651199000,-0.0263729800,0.4215140000,0.0461605400,-0.0225995200,0.4339884000,0.0430394400,-0.0170218100,0.3465670000,0.0533020400,-0.0174135900,0.3008946000,0.0318775400,-0.0139803600,0.2679984000,0.0708860000,-0.0269091000,0.4001868000,0.0499164400,-0.0175991700,0.3830848000,0.0378975600,-0.0180218800,0.3357022000,0.0440762800,-0.0195890000,0.3570294000,0.0750545200,-0.0248161700,0.3646750000,0.0435896000,-0.0192178400,0.3566270000,0.0617766200,-0.0213829400,0.3381166000,0.0587613200,-0.0179084700,0.3077354000,0.0532174000,-0.0223623900,0.3863040000,0.0595865600,-0.0232181200,0.3814752000,0.0566453200,-0.0221871200,0.3455610000,0.0894033300,-0.0278287500,0.3771225000,0.0910471200,-0.0324002500,0.4334661000,0.0783679500,-0.0255122500,0.4530465000,0.0741904200,-0.0309652500,0.3550446000,0.0814566000,-0.0270600000,0.4147848000,0.0914240400,-0.0321542500,0.4135860000,0.0795196500,-0.0395855000,0.4598397000,0.0370428600,-0.0140015000,0.2742255000,0.0434819100,-0.0191162500,0.4121874000,0.0916857900,-0.0293457500,0.4053942000,0.0706096800,-0.0315700000,0.4560435000,0.0266566200,-0.0134172500,0.2529468000,0.0709447200,-0.0231342500,0.4334661000,0.0438797700,-0.0198235000,0.2858139000,0.0352943700,-0.0186857500,0.2650347000,0.0676780800,-0.0223450000,0.3039957000,0.0408015900,-0.0170150000,0.3387609000,0.0590508000,-0.0273367500,0.3892104000,0.0633958500,-0.0249382500,0.3315681000,0.0689658900,-0.0281055000,0.3732264000,0.0970464300,-0.0395547500,0.4672323000,0.0522453000,-0.0210125000,0.3674322000,0.1105632000,-0.0297250000,0.4398597000,0.0514181700,-0.0279620000,0.2935062000,0.0630503400,-0.0252867500,0.3243753000,0.0417438900,-0.0216992500,0.3594402000,0.0690391800,-0.0285155000,0.3875121000,0.0611238600,-0.0301555000,0.3867129000,0.0547057500,-0.0288742500,0.2912085000
23500,425.53,0.0393400800,-0.0214749200,0.5631240000,0.0729518400,-0.0399583600,0.6980934000,0.0705510000,-0.0277765600,0.5190360000,0.0960336000,-0.0374500400,0.6312600000,0.0660968100,-0.0356099200,0.7144260000,0.0724148100,-0.0280952400,0.6271518000,0.0738995400,-0.0269336000,0.5600178000,0.0705615300,-0.0312203600,0.5718414000,0.0750999600,-0.0294522000,0.6644262000,0.0562723200,-0.0331324400,0.7303578000,0.0622638900,-0.0241888400,0.5994966000,0.0690557400,-0.0263887600,0.6136248000,0.0405405000,-0.0244664000,0.5591160000,0.0906633000,-0.0340370800,0.6837648000,0.0511758000,-0.0279718800,0.6843660000,0.0502912800,-0.0283316800,0.6370716000,0.0532502100,-0.0318988400,0.6045066000,0.0836503200,-0.0403284400,0.6568110000,0.0545559300,-0.0325362000,0.6607188000,0.0826499700,-0.0339754000,0.6187350000,0.0771533100,-0.0244972400,0.6029034000,0.0631168200,-0.0273242400,0.5722422000,0.0753737400,-0.0338314800,0.6536046000,0.0763109100,-0.0345305200,0.6584142000,0.1287626000,-0.0597708800,0.6623617000,0.0819122600,-0.0376320000,0.7079072000,0.0987633200,-0.0403148800,0.7070063000,0.0805210800,-0.0406220800,0.6346340000,0.0692138200,-0.0206950400,0.6523517000,0.0854372800,-0.0371507200,0.7112105000,0.1048092000,-0.0547942400,0.6836830000,0.0485448600,-0.0198041600,0.5432427000,0.0845900200,-0.0427827200,0.5362357000,0.1098300000,-0.0460390400,0.6871865000,0.0803014200,-0.0301670400,0.7164157000,0.0566304400,-0.0274944000,0.5527522000,0.1054368000,-0.0472064000,0.6768762000,0.0657934000,-0.0389222400,0.5592587000,0.0582622000,-0.0396083200,0.5419414000,0.1019222000,-0.0349184000,0.6142136000,0.0759396000,-0.0298188800,0.6171165000,0.0760965000,-0.0260403200,0.5395390000,0.0779374600,-0.0247808000,0.6779773000,0.0854582000,-0.0389324800,0.6321315000,0.1345156000,-0.0549785600,0.6694688000,0.0653854600,-0.0284364800,0.6378372000,0.0801026800,-0.0297676800,0.6728722000,0.0718706600,-0.0455168000,0.5652647000,0.0885334400,-0.0406528000,0.6185179000,0.0595174000,-0.0328908800,0.6170164000,0.0692870400,-0.0268595200,0.6524518000,0.0876757200,-0.0454144000,0.6566560000,0.0972047800,-0.0327168000,0.5630625000
23000,434.78,0.0397616800,-0.0224839600,0.8413542000,0.0487312000,-0.0347337700,0.8984757000,0.0554237600,-0.0312946800,0.7938372000,0.0779486400,-0.0345675300,0.9803667000,0.0448263200,-0.0303284100,0.8968581000,0.0478587200,-0.0247593700,0.8489367000,0.0703623200,-0.0422976900,1.0046310000,0.0446135200,-0.0178708000,0.8185056000,0.0479225600,-0.0258814900,0.8159781000,0.0289620800,-0.0147745800,0.8195166000,0.0473267200,-0.0204994700,0.9302211000,0.0514444000,-0.0243957200,0.8085978000,0.0325371200,-0.0189617500,0.8018241000,0.0719689600,-0.0253516000,0.9149550000,0.0371548800,-0.0198968500,0.8718864000,0.0410704000,-0.0253516000,0.8989812000,0.0459116000,-0.0215592500,0.9774348000,0.0694792000,-0.0312842900,0.8660226000,0.0434644000,-0.0320947100,0.9313332000,0.0593924800,-0.0285517200,0.8206287000,0.0631164800,-0.0021600810,0.9112143000,0.0526892800,-0.0174655900,0.8616753000,0.0519657600,-0.0267334700,0.8655171000,0.0549981600,-0.0293517500,0.9237507000,0.0818121900,-0.0402186000,0.9390381000,0.0766488300,-0.0268566000,0.8163155000,0.0679877100,-0.0285294000,0.9016007000,0.0706422600,-0.0418812000,0.8247239000,0.0835090200,-0.0215016000,0.9400391000,0.0869443200,-0.0406776000,0.8373365000,0.0622830300,-0.0372912000,0.9472463000,0.0396725100,-0.0190944000,0.8603595000,0.0413901600,-0.0219402000,0.9151142000,0.0603884100,-0.0276012000,0.8365357000,0.0488749500,-0.0269484000,0.8506498000,0.0396933300,-0.0242046000,0.8259251000,0.0535490400,-0.0348228000,0.8544536000,0.0585354300,-0.0335784000,0.8423415000,0.0512692500,-0.0196860000,0.8496488000,0.0791576400,-0.0363324000,0.8489481000,0.0267224700,-0.0168402000,0.7102095000,0.0451377600,-0.0268056000,0.8832824000,0.0564846600,-0.0473280000,0.8377369000,0.0726826200,-0.0420546000,0.9178169000,0.0527787000,-0.0243780000,0.9737728000,0.0566928600,-0.0236844000,0.8860852000,0.1983105000,-0.0248778000,1.0750740000,0.0698094600,-0.0350472000,0.9121112000,0.0575673000,-0.0310998000,0.7531524000,0.0445964400,-0.0196860000,0.7826819000,0.0463557300,-0.0271932000,0.8484476000,0.0436907700,-0.0365772000,0.8314306000,0.0601281600,-0.0417792000,0.8026018000
22500,444.44,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
22000,454.55,-0.0815104500,0.0508194900,0.9333660000,-0.0763997500,0.0477278100,0.9595082000,-0.1170246000,0.0659016000,0.8669668000,-0.1070118000,0.0646303500,0.9782948000,-0.0920656100,0.0607657500,0.8838648000,-0.0694638000,0.0399070800,0.9199470000,-0.1090978000,0.0635421600,0.9503634000,-0.0703399200,0.0435682800,1.0725260000,-0.0845351500,0.0635116500,0.8751176000,-0.0663243700,0.0423885600,1.0317720000,-0.0612241000,0.0323914500,0.9826684000,-0.0814583000,0.0538196400,1.0397240000,-0.0484264900,0.0407817000,1.0496640000,-0.0867984600,0.0613861200,0.8653764000,-0.0669606000,0.0455209200,0.9257122000,-0.0793305800,0.0534636900,0.9263086000,-0.0718314100,0.0476973000,0.8637860000,-0.0913876600,0.0724714200,0.8784972000,-0.0651562100,0.0464769000,0.9605022000,-0.0831583900,0.0553756500,1.0039400000,-0.0779433900,0.0493550100,0.9472820000,-0.0590129400,0.0537687900,1.0934000000,-0.0762433000,0.0524772000,0.9553334000,-0.0981880200,0.0665321400,0.8739248000,-0.0924225100,0.0482348100,0.8830536000,-0.1281953000,0.0884321700,0.7921188000,-0.1162125000,0.0686974500,0.8846472000,-0.1114607000,0.0588199800,0.8488908000,-0.0750681100,0.0621461700,0.9743868000,-0.1119772000,0.0501456000,0.8179152000,-0.1445167000,0.0878761200,0.9038700000,-0.0690147300,0.0542199300,1.0039680000,-0.0909040000,0.0675044700,0.8687112000,-0.1446200000,0.0820628700,0.9393276000,-0.0927840600,0.0601646100,0.8752848000,-0.0830015500,0.0602859300,0.9561600000,-0.1210676000,0.0780694200,0.8904240000,-0.1280920000,0.0648657600,0.8786712000,-0.0916580900,0.0694658100,0.9237900000,-0.1537104000,0.1141419000,0.9250848000,-0.0897367100,0.0617215500,0.8406240000,-0.1015955000,0.0658363200,0.9256824000,,,,-0.1145597000,0.0687480000,0.8625360000,-0.1365626000,0.0860563200,0.9029736000,-0.0827019800,0.0631268400,0.8764800000,-0.0468672100,0.0564340200,0.9274752000,-0.0679610700,0.0475978800,0.9450048000,-0.1229270000,0.0719023200,0.8662212000,-0.0817412900,0.0453736800,0.8864400000,-0.0990130500,0.0619641900,0.8425164000,-0.1191049000,0.0715080300,0.8983920000,-0.1091881000,0.0553926900,0.8369388000
