,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
21500,465.12,-0.1865472000,0.1438460000,0.7603200000,-0.1891497000,0.1408070000,0.8395200000,-0.2532753000,0.1617761000,0.7237890000,-0.2986629000,0.1917609000,0.6582510000,-0.2353701000,0.1736282000,0.6795360000,-0.2250642000,0.1375654000,0.6886440000,-0.2610828000,0.1790984000,0.7444800000,-0.1549008000,0.1134560000,0.9848520000,-0.1935219000,0.1603579000,0.7379460000,-0.1580238000,0.1274354000,0.8485290000,-0.1924809000,0.1153807000,0.7896240000,-0.2476539000,0.1774776000,0.7791300000,-0.1512573000,0.1304744000,0.8823870000,-0.2101779000,0.1519500000,0.7692300000,-0.1946670000,0.1411109000,0.7142850000,-0.1906071000,0.1500253000,0.7395300000,-0.1631247000,0.1217626000,0.6430050000,-0.2363070000,0.1902414000,0.6304320000,-0.1733265000,0.1351342000,0.7852680000,-0.2330799000,0.1589397000,0.7931880000,-0.2200674000,0.1611683000,0.7112160000,-0.1829037000,0.1603579000,0.9316890000,-0.2009130000,0.1586358000,0.7614090000,-0.2336004000,0.1798075000,0.6784470000,-0.2541816000,0.1644897000,0.6901350000,-0.2862768000,0.1951230000,0.7741428000,-0.2577936000,0.1634787000,0.6951000000,-0.2608896000,0.1850130000,0.6677925000,-0.1913328000,0.1503357000,0.8331270000,-0.2668752000,0.1712634000,0.6536919000,-0.2889600000,0.1998747000,0.7479276000,-0.1765752000,0.1460895000,0.8065146000,-0.1836960000,0.1514478000,0.7263795000,-0.3139344000,0.2008857000,0.7134705000,-0.2341608000,0.1720722000,0.6824889000,-0.1874112000,0.1688370000,0.7954923000,-0.3001056000,0.1956285000,0.7181376000,-0.2860704000,0.1798569000,0.7246914000,-0.1868952000,0.1621644000,0.7240956000,-0.3022728000,0.1999758000,0.6570681000,-0.2121792000,0.1666128000,0.7170453000,-0.2304456000,0.1688370000,0.8602359000,-0.2376696000,0.1605468000,0.6837798000,-0.2400432000,0.1783404000,0.6590541000,-0.2747184000,0.1985604000,0.7578576000,-0.1920552000,0.1661073000,0.7160523000,-0.2343672000,0.1643886000,0.7341249000,-0.1968024000,0.1541775000,0.7245921000,-0.2914368000,0.1898658000,0.7203222000,-0.1743048000,0.1283970000,0.7529919000,-0.2412816000,0.1658040000,0.7015545000,-0.2446872000,0.1799580000,0.6800064000,-0.2567616000,0.1893603000,0.6504150000
21250,470.59,-0.2622714000,0.2114190000,0.6187804000,-0.2693570000,0.2229786000,0.6001496000,-0.3431306000,0.2397096000,0.5337526000,-0.3390668000,0.2293668000,0.5947982000,-0.3070774000,0.2412306000,0.5135362000,-0.3037430000,0.2023944000,0.5899423000,-0.3446936000,0.2560350000,0.6484113000,-0.2351794000,0.1979328000,0.6239336000,-0.2554984000,0.2210520000,0.5688340000,-0.2218418000,0.1882998000,0.6884477000,-0.2318450000,0.1604148000,0.6496005000,-0.3477154000,0.2554266000,0.6003478000,-0.2165276000,0.2013804000,0.6758620000,-0.2798812000,0.2392026000,0.6075821000,-0.2512262000,0.2023944000,0.6056992000,-0.2527892000,0.2169960000,0.5886540000,-0.2422650000,0.1756248000,0.4808332000,-0.3138504000,0.2767206000,0.4020487000,-0.2389306000,0.1994538000,0.6574294000,-0.3114538000,0.2137512000,0.8100434000,-0.2895718000,0.2266290000,0.5399959000,-0.2485170000,0.2405208000,0.6866639000,-0.2705032000,0.2261220000,0.6085731000,-0.3017632000,0.2464020000,0.5343472000,-0.3362950000,0.2356015000,0.5921225000,-0.3464920000,0.2650643000,0.6137263000,-0.3213600000,0.2246034000,0.5753746000,-0.3202270000,0.2531581000,0.5174011000,-0.2794390000,0.2166323000,0.6446455000,-0.3255830000,0.2238971000,0.5437617000,-0.3653410000,0.2678895000,0.5408878000,-0.2447280000,0.2097711000,0.6949883000,-0.2412260000,0.2061387000,0.5946000000,-0.3910910000,0.2695039000,0.5814197000,-0.2661520000,0.2100738000,0.5498068000,-0.2398870000,0.2246034000,0.6687268000,-0.3753320000,0.2650643000,0.5734917000,-0.3394880000,0.2513419000,0.5422752000,-0.2384450000,0.2230899000,0.6244291000,-0.3597790000,0.2679904000,0.5180948000,-0.2675940000,0.2245025000,0.5808251000,-0.2922110000,0.2335835000,0.6659520000,-0.2844860000,0.2106792000,0.5692304000,-0.3033350000,0.2518464000,0.5807260000,-0.3333080000,0.2581022000,0.5930144000,-0.2383420000,0.2201638000,0.6014379000,-0.3310420000,0.2290430000,0.6054019000,-0.2530710000,0.2147152000,0.6561411000,-0.3462860000,0.2479113000,0.5929153000,-0.2382390000,0.1762723000,0.6180867000,-0.3004510000,0.2190539000,0.5412842000,-0.2870610000,0.2344916000,0.5632844000,-0.3159010000,0.2516446000,0.5674466000
21000,476.19,-0.3017632000,0.2722768000,0.5057073000,-0.3371912000,0.3054962000,0.4535807000,-0.4057548000,0.3048848000,0.4085893000,-0.4476432000,0.3482942000,0.3982829000,-0.3698058000,0.3226154000,0.4092830000,-0.3556346000,0.2717673000,0.4486257000,-0.4090892000,0.3275066000,0.4138416000,-0.2647722000,0.2629020000,0.5078875000,-0.3098908000,0.3070247000,0.3955081000,-0.2635218000,0.2429296000,0.5632844000,-0.3178100000,0.2205116000,0.4180038000,-0.3970020000,0.3321940000,0.4024451000,-0.2798812000,0.2760471000,0.4956982000,-0.3507372000,0.2922492000,0.4157245000,-0.3072858000,0.2718692000,0.4732025000,-0.2972826000,0.2795117000,0.4452563000,-0.2701906000,0.2247914000,0.4064091000,-0.3515708000,0.3385118000,0.3889675000,-0.2883214000,0.2702388000,0.4587339000,-0.3605320000,0.3033563000,0.4955000000,-0.3435474000,0.3077380000,0.3485347000,-0.3029094000,0.3194565000,0.4607159000,-0.3233326000,0.2957138000,0.4391121000,-0.3724108000,0.3134444000,0.4006613000,-0.3813060000,0.2874738000,0.4347936000,-0.3915030000,0.3268524000,0.4503680000,-0.3665770000,0.2721432000,0.4408448000,-0.3739930000,0.3166320000,0.4634624000,-0.3112660000,0.2595180000,0.4544352000,-0.3647230000,0.2784558000,0.4119776000,-0.4230210000,0.3344676000,0.4271552000,-0.2838680000,0.2709408000,0.5138560000,-0.2932410000,0.2704398000,0.4581056000,-0.4568050000,0.3410808000,0.4294368000,-0.2992150000,0.2489970000,0.4159456000,-0.2804690000,0.2844678000,0.4998688000,-0.4392950000,0.3422832000,0.4126720000,-0.4018030000,0.3278544000,0.4072160000,-0.2858250000,0.2871732000,0.4820128000,-0.4006700000,0.3213414000,0.3717024000,-0.3057040000,0.2757504000,0.4351904000,-0.3454620000,0.3090168000,0.5109792000,-0.3273340000,0.2587164000,0.4173344000,-0.3511270000,0.3125238000,0.4157472000,-0.4000520000,0.3333654000,0.4426304000,-0.2819110000,0.2751492000,0.4617760000,-0.4133390000,0.2855700000,0.4630656000,-0.2886060000,0.2656302000,0.5021504000,-0.4203430000,0.3222432000,0.4482848000,-0.2769670000,0.2307606000,0.4256672000,-0.3534960000,0.2784558000,0.3905504000,-0.3335140000,0.3053094000,0.4589984000,-0.3621480000,0.3161310000,0.4002720000
20750,481.93,-0.3663900000,0.3491400000,0.3560775000,-0.3526245000,0.3608792000,0.3035770000,-0.4500180000,0.3768688000,0.2914615000,-0.4912110000,0.3941740000,0.2680185000,-0.4013730000,0.3884056000,0.2835815000,-0.3971295000,0.3251556000,0.2944165000,-0.4703040000,0.4066216000,0.3200265000,-0.3376170000,0.3389188000,0.3101765000,-0.3336840000,0.3641176000,0.2853545000,-0.3014955000,0.3031952000,0.3894690000,-0.3882285000,0.2981352000,0.3295810000,-0.4677165000,0.4235220000,0.3295810000,-0.3120525000,0.3469136000,0.3528270000,-0.3941280000,0.3740352000,0.2983565000,-0.3704265000,0.3402344000,0.3255425000,-0.3533490000,0.3464076000,0.3311570000,-0.3412395000,0.2986412000,0.2720570000,-0.4216590000,0.4453812000,0.2968790000,-0.3373065000,0.3456992000,0.3332255000,-0.4307670000,0.3715052000,0.3208145000,-0.4126545000,0.3818276000,0.2830890000,-0.3257145000,0.3960968000,0.3662230000,-0.3632850000,0.3683680000,0.3152000000,-0.4092390000,0.4046988000,0.3030845000,-0.4440960000,0.3783555000,0.3094484000,-0.4290872000,0.4057065000,0.3282237000,-0.4216856000,0.3555630000,0.3118076000,-0.4308348000,0.4258652000,0.2989303000,-0.3548656000,0.3345939000,0.3296982000,-0.4236388000,0.3595137000,0.2866428000,-0.4638336000,0.4143170000,0.2878224000,-0.3260816000,0.3435083000,0.3918238000,-0.3391372000,0.3422927000,0.3030589000,-0.5225324000,0.4315380000,0.3091535000,-0.3493144000,0.3173729000,0.3084654000,-0.3300908000,0.3721762000,0.3703944000,-0.5017668000,0.4269795000,0.2918527000,-0.4643476000,0.4012493000,0.2924425000,-0.3360532000,0.3626540000,0.3479820000,-0.4834684000,0.4219145000,0.2711114000,-0.3286516000,0.3366199000,0.3036487000,-0.3903316000,0.3843322000,0.3700995000,-0.3819020000,0.3262873000,0.2980456000,-0.3969108000,0.3868647000,0.2974558000,-0.4748332000,0.4165456000,0.3186886000,-0.3218668000,0.3455343000,0.3216376000,-0.4647588000,0.3550565000,0.3275356000,-0.3295768000,0.3439135000,0.3768822000,-0.4829544000,0.4291068000,0.3393316000,-0.3306048000,0.2958973000,0.3457211000,-0.3963968000,0.3502954000,0.2999133000,-0.3637064000,0.3797737000,0.3160345000,-0.4071908000,0.3905115000,0.3034521000
20500,487.80,-0.3747618000,0.4285819000,0.2533652000,-0.4337235000,0.4700058000,0.2086249000,-0.4981389000,0.4369068000,0.1811150000,-0.5133681000,0.4774280000,0.1887512000,-0.4361931000,0.4535566000,0.1935483000,-0.4480266000,0.3926745000,0.1918840000,-0.4703559000,0.4713097000,0.2282049000,-0.3585036000,0.4085219000,0.2162611000,-0.3665298000,0.4471374000,0.1985412000,-0.3229002000,0.3923736000,0.2783297000,-0.4034709000,0.3439287000,0.2162611000,-0.4792053000,0.4926736000,0.2144010000,-0.3618993000,0.4138378000,0.2254637000,-0.4388685000,0.4739175000,0.2061774000,-0.4034709000,0.4181507000,0.2291839000,-0.3801126000,0.4234666000,0.2310440000,-0.3337047000,0.3442296000,0.1948210000,-0.4564644000,0.5215600000,0.1944294000,-0.3849489000,0.4322930000,0.2397571000,-0.4678863000,0.4815403000,0.2407361000,-0.3972969000,0.4426239000,0.1934504000,-0.3776430000,0.4725133000,0.2393655000,-0.3965766000,0.4774280000,0.2279112000,-0.4463802000,0.4746196000,0.1938420000,-0.4691898000,0.4341000000,0.2077079000,-0.4663170000,0.4890000000,0.2197988000,-0.4621104000,0.3987000000,0.2036776000,-0.4687794000,0.5112000000,0.2056436000,-0.3843396000,0.4061000000,0.2303169000,-0.4411800000,0.4002000000,0.1879496000,-0.4993542000,0.4925000000,0.2040708000,-0.3469932000,0.4146000000,0.2663930000,-0.3308850000,0.3910000000,0.2023014000,-0.5573232000,0.4965000000,0.2027929000,-0.3795174000,0.3779000000,0.2322829000,-0.3795174000,0.4562000000,0.2709148000,-0.5303394000,0.4696000000,0.1961085000,-0.5057154000,0.4969000000,0.1963051000,-0.3687444000,0.4508000000,0.2428993000,-0.5041764000,0.4954000000,0.1801839000,-0.3912138000,0.4292000000,0.2165549000,-0.4061934000,0.4593000000,0.2568579000,-0.3871098000,0.3760000000,0.1953221000,-0.4175820000,0.4611000000,0.2015150000,-0.4753458000,0.4731000000,0.2153753000,-0.3449412000,0.4010000000,0.2141957000,-0.5423436000,0.4241000000,0.2182260000,-0.3382722000,0.3876000000,0.2516480000,-0.5106402000,0.4913000000,0.2243206000,-0.3470958000,0.3661000000,0.2176362000,-0.4265082000,0.4145000000,0.2084943000,-0.3847500000,0.4467000000,0.2162600000,-0.4507218000,0.4740000000,0.1982711000
20250,493.83,-0.4065233000,0.5130525000,0.1679472000,-0.3788925000,0.5132535000,0.1344951000,-0.5444711000,0.5364690000,0.1233117000,-0.5397285000,0.5714430000,0.1236060000,-0.4601353000,0.5551620000,0.1236060000,-0.4683833000,0.4912440000,0.1365552000,-0.5306557000,0.5673225000,0.1294920000,-0.3645616000,0.4627020000,0.1412640000,-0.3575508000,0.5206905000,0.1283148000,-0.3521896000,0.4697370000,0.1790325000,-0.4766313000,0.4312455000,0.1362609000,-0.5417905000,0.5984775000,0.1311597000,-0.3215689000,0.4947615000,0.1646118000,-0.4799305000,0.5363685000,0.1282167000,-0.4229162000,0.5175750000,0.1531341000,-0.4031210000,0.5176755000,0.1613745000,-0.3801297000,0.4654155000,0.1377324000,-0.4974575000,0.6265170000,0.1195839000,-0.3998218000,0.5030025000,0.1510740000,-0.4561144000,0.5440065000,0.1449918000,-0.4250813000,0.5461170000,0.1548018000,-0.3537361000,0.5778750000,0.1570581000,-0.4184829000,0.5421975000,0.1378305000,-0.4695174000,0.5847090000,0.1272357000,-0.4805333000,0.5172822000,0.1355360000,-0.4967599000,0.5965029000,0.1474545000,-0.4400695000,0.4829166000,0.1414460000,-0.4766307000,0.6138855000,0.1348465000,-0.4147026000,0.4533462000,0.1706020000,-0.4663607000,0.4954041000,0.1286410000,-0.5016895000,0.5711283000,0.1311035000,-0.3902600000,0.5159835000,0.1929615000,-0.3831737000,0.4983012000,0.1444010000,-0.5762497000,0.5942052000,0.1375060000,-0.4140864000,0.4720275000,0.1431205000,-0.4055623000,0.5744250000,0.1795655000,-0.5616663000,0.6009984000,0.1313005000,-0.5181215000,0.5790204000,0.1313005000,-0.3904654000,0.5280714000,0.1562210000,-0.4887493000,0.5678316000,0.1181015000,-0.3875898000,0.4935060000,0.1400670000,-0.4428424000,0.5647347000,0.1668590000,-0.4103892000,0.4737258000,0.1417415000,-0.4227132000,0.5397597000,0.1273605000,-0.5207917000,0.5732262000,0.1413475000,-0.3816332000,0.5012982000,0.1472575000,-0.5516017000,0.5130864000,0.1518870000,-0.3767036000,0.5128866000,0.1815355000,-0.5368129000,0.6113880000,0.1502125000,-0.3698227000,0.4376619000,0.1763150000,-0.4303130000,0.4956039000,0.1380970000,-0.3941626000,0.5436558000,0.1441055000,-0.4634851000,0.5563431000,0.1339600000
20000,500.00,-0.3843261000,0.6136728000,0.1066947000,-0.4050022000,0.6282744000,0.0796509000,-0.5297861000,0.6312150000,0.0762358800,-0.5620990000,0.6780618000,0.0734426700,-0.4512377000,0.6728904000,0.0848523900,-0.4607965000,0.5655078000,0.0860170500,-0.5129543000,0.6599112000,0.0964693800,-0.3166872000,0.5612490000,0.0948704400,-0.3781960000,0.6327360000,0.0831942300,-0.3464026000,0.5634798000,0.1199205000,-0.3597018000,0.4854018000,0.1000818000,-0.4892651000,0.6831318000,0.0832534500,-0.3705074000,0.6068790000,0.0941005800,-0.4292109000,0.6247254000,0.0884746800,-0.4493675000,0.6090084000,0.0979597500,-0.4056256000,0.5879172000,0.0960252300,-0.3933654000,0.5660148000,0.0871027500,-0.4117557000,0.6785688000,0.0813880200,-0.4132103000,0.6109350000,0.0922548900,-0.4734723000,0.6519006000,0.0901131000,-0.4153922000,0.6736002000,0.0897972600,-0.3943005000,0.6678204000,0.0913665900,-0.3858846000,0.6487572000,0.0915738600,-0.4486402000,0.6769464000,0.0787922100,-0.5038228000,0.6396484000,0.0844272000,-0.4814124000,0.7010932000,0.0910003200,-0.4791508000,0.5910548000,0.0875563200,-0.4379280000,0.7072176000,0.0820360800,-0.3834440000,0.5661556000,0.1029264000,-0.4511892000,0.5876412000,0.0802845600,-0.4631140000,0.6423592000,0.0796843200,-0.3610336000,0.5983840000,0.1157184000,-0.3545572000,0.5809144000,0.0934701600,-0.5609796000,0.6898484000,0.0831578400,-0.4557124000,0.5782036000,0.0920728800,-0.3950604000,0.6259940000,0.1136520000,-0.5272612000,0.7021976000,0.0839056800,-0.5161588000,0.6924588000,0.0805896000,-0.3863224000,0.6534032000,0.0996792000,-0.5124580000,0.6728808000,0.0714876000,-0.4243584000,0.6483832000,0.0914628000,-0.4231248000,0.6248896000,0.1029264000,-0.4191156000,0.5395496000,0.0806781600,-0.4193212000,0.6222792000,0.0817113600,-0.4966268000,0.6684632000,0.0857162400,-0.3680240000,0.5737860000,0.0906657600,-0.5777360000,0.6179620000,0.0959301600,-0.3599028000,0.5587260000,0.1069608000,-0.4957016000,0.6911536000,0.0914824800,-0.4866552000,0.5681636000,0.1035168000,-0.4221996000,0.5936652000,0.0861688800,-0.3772760000,0.6235844000,0.0902820000,-0.4078076000,0.6505920000,0.0836892000
19750,506.33,-0.3783312000,0.7295512000,0.0651187800,-0.3589296000,0.7257284000,0.0484712100,-0.4944312000,0.7265332000,0.0432719100,-0.4829760000,0.7406172000,0.0470683800,-0.4150704000,0.7732116000,0.0452927700,-0.4199208000,0.6701972000,0.0529740000,-0.4491264000,0.7438364000,0.0494816400,-0.3754416000,0.6826716000,0.0520322400,-0.3343680000,0.7256278000,0.0474705900,-0.3507768000,0.6778428000,0.0695529000,-0.4050600000,0.6390112000,0.0674633700,-0.4913352000,0.8062084000,0.0476275500,-0.2955648000,0.6904178000,0.0606356100,-0.4239456000,0.7401142000,0.0483829200,-0.4152768000,0.7458484000,0.0604492200,-0.3843168000,0.7182840000,0.0595957500,-0.3826656000,0.6854884000,0.0505411200,-0.4389096000,0.7969532000,0.0408586500,-0.3887544000,0.7132540000,0.0543670200,-0.3730680000,0.7187870000,0.0498544200,-0.3942240000,0.7462508000,0.0558483300,-0.3457200000,0.7882010000,0.0547201800,-0.3684240000,0.7277404000,0.0489617100,-0.4131096000,0.7652642000,0.0433798200,-0.4736016000,0.7330323000,0.0513586000,-0.4256874000,0.7781774000,0.0503176800,-0.4292784000,0.7124117000,0.0554339000,-0.4050648000,0.8075067000,0.0461245400,-0.4199418000,0.7402395000,0.0578692600,-0.4243536000,0.6840834000,0.0484617000,-0.4184028000,0.7502495000,0.0494338800,-0.3641274000,0.7140133000,0.0710280600,-0.3769524000,0.7126119000,0.0523307800,-0.5160780000,0.7784777000,0.0473422200,-0.3817746000,0.6739733000,0.0564748200,-0.3547908000,0.7636629000,0.0666876200,-0.4879656000,0.8024016000,0.0478921400,-0.4605714000,0.7665658000,0.0458692200,-0.3418632000,0.7273266000,0.0606876000,-0.4391280000,0.7736729000,0.0421572600,-0.3579714000,0.7231224000,0.0563668000,-0.4310226000,0.7693686000,0.0602849800,-0.3998322000,0.6645639000,0.0533324200,-0.3587922000,0.7103096000,0.0452211000,-0.4825278000,0.7607600000,0.0501998400,-0.3492504000,0.7011004000,0.0564257200,-0.5370084000,0.7391384000,0.0590280200,-0.3643326000,0.7174167000,0.0681508000,-0.4626234000,0.7836829000,0.0507104800,-0.4224042000,0.6945939000,0.0681999000,-0.3923424000,0.7199192000,0.0527628600,-0.3560220000,0.7445438000,0.0516826600,-0.4107078000,0.7500493000,0.0487563000
19500,512.82,-0.3236144000,0.8401393000,0.0297154200,-0.2787936000,0.8112104000,0.0243833800,-0.4109944000,0.8100092000,0.0219800700,-0.3682296000,0.8787779000,0.0244709500,-0.3152876000,0.8627619000,0.0247433900,-0.3660708000,0.7854847000,0.0268742600,-0.3600056000,0.8646638000,0.0323230600,-0.2335616000,0.7778771000,0.0298321800,-0.2803356000,0.8387379000,0.0229725300,-0.2143380000,0.7503496000,0.0389589200,-0.3390344000,0.7626619000,0.0326246900,-0.3625756000,0.8350342000,0.0232936200,-0.2755040000,0.8285277000,0.0281099700,-0.3308104000,0.8678670000,0.0242471600,-0.3410904000,0.8451443000,0.0299489400,-0.3135400000,0.8108100000,0.0304840900,-0.3158016000,0.7751744000,0.0260180200,-0.3201192000,0.8802794000,0.0234298400,-0.3035684000,0.8269261000,0.0291510800,-0.3263900000,0.8353345000,0.0253661100,-0.3069608000,0.8693685000,0.0268839900,-0.2860924000,0.8510502000,0.0256288200,-0.2995592000,0.8557549000,0.0237412000,-0.3090168000,0.8388380000,0.0210654500,-0.3675633000,0.8469906000,0.0268969800,-0.3264833000,0.8947860000,0.0268380600,-0.3603743000,0.8119206000,0.0266809400,-0.3166241000,0.8923812000,0.0218298600,-0.2669173000,0.7966902000,0.0414796800,-0.3542123000,0.8371710000,0.0253454200,-0.3521583000,0.8704374000,0.0248053200,-0.2701010000,0.8363694000,0.0381114200,-0.2782143000,0.8325618000,0.0298233400,-0.3868709000,0.8706378000,0.0236269200,-0.3156998000,0.8194356000,0.0297840600,-0.2799602000,0.8479926000,0.0331130400,-0.3739307000,0.8740446000,0.0238920600,-0.3865628000,0.8979924000,0.0232734000,-0.2938247000,0.8483934000,0.0302456000,-0.3481530000,0.8423814000,0.0215549000,-0.3232996000,0.8613192000,0.0283994400,-0.3203213000,0.8702370000,0.0315909400,-0.3235050000,0.7991952000,0.0259346200,-0.3025542000,0.8432832000,0.0232046600,-0.3283319000,0.8328624000,0.0284485400,-0.2957760000,0.8322612000,0.0303929000,-0.4570150000,0.8677320000,0.0286547600,-0.2722577000,0.7901772000,0.0349297400,-0.3635580000,0.8390748000,0.0262881400,-0.3756766000,0.8503974000,0.0370312200,-0.2976246000,0.8292552000,0.0278200600,-0.2784197000,0.8409786000,0.0290475600,-0.3349047000,0.8485938000,0.0228216800
