,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
19250,519.48,-0.2096023000,0.9572625000,0.0092100400,-0.1622794000,0.9644985000,0.0090375600,-0.2550694000,0.9363585000,0.0085054200,-0.2687817000,0.9445995000,0.0079252600,-0.1595988000,0.9505290000,0.0096657400,-0.2122829000,0.9049020000,0.0108192000,-0.1807343000,0.9155550000,0.0104076000,-0.1955807000,0.9447000000,0.0102998000,-0.1575368000,0.9301275000,0.0099078000,-0.1146472000,0.8864100000,0.0167580000,-0.2323874000,0.9150525000,0.0107996000,-0.1846521000,0.9655035000,0.0092227800,-0.1406284000,0.9192735000,0.0127106000,-0.2264076000,0.9024900000,0.0101332000,-0.2174379000,0.9434940000,0.0120638000,-0.1974365000,0.9458055000,0.0131320000,-0.1947559000,0.9039975000,0.0099764000,-0.1950652000,1.0070100000,0.0088170600,-0.1732080000,0.9126405000,0.0115346000,-0.1630011000,0.9228915000,0.0100156000,-0.1717646000,0.9523380000,0.0109662000,-0.1531035000,0.9641970000,0.0116718000,-0.1530004000,0.9572625000,0.0110838000,-0.1925908000,0.9368610000,0.0083192200,-0.2347008000,0.9198000000,0.0091500800,-0.2158592000,1.0100000000,0.0087773720,-0.2034688000,0.9146000000,0.0102445400,-0.1998848000,0.9506000000,0.0077588340,-0.2114560000,0.9586000000,0.0116643800,-0.2055168000,0.9355000000,0.0097614000,-0.2283520000,1.0020000000,0.0082863440,-0.1898496000,0.9325000000,0.0149576200,-0.1770496000,0.9341000000,0.0120390600,-0.2300928000,0.9567000000,0.0084894600,-0.1924096000,0.9456000000,0.0113390000,-0.1937408000,0.9886000000,0.0127785600,-0.2325504000,0.9405000000,0.0101952400,-0.2059264000,0.9520000000,0.0090307740,-0.1686528000,0.9497000000,0.0115460600,-0.2147328000,0.9601000000,0.0073151340,-0.2586624000,0.9305000000,0.0117136800,-0.2045952000,0.9439000000,0.0111122200,-0.1885184000,0.9190000000,0.0103727200,-0.1927168000,0.9279000000,0.0083464900,-0.2269184000,0.9524000000,0.0083455040,-0.1815552000,0.9274000000,0.0111713800,-0.2902016000,0.9534000000,0.0111122200,-0.1586176000,0.9343000000,0.0140505000,-0.1949696000,0.9483000000,0.0102346800,-0.2158592000,0.9250000000,0.0119010200,-0.2075648000,0.9328000000,0.0110826400,-0.1828864000,0.9616000000,0.0103234200,-0.2315264000,0.9037000000,0.0084529780
19000,526.32,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
18750,533.33,0.2037161000,1.0332650000,-0.0070249100,0.2394646000,1.0431150000,-0.0027561480,0.2540661000,1.0145500000,-0.0048568940,0.2010979000,1.0253850000,-0.0062349680,0.2280855000,1.0372050000,-0.0049107100,0.2584969000,1.0332650000,-0.0069364980,0.2548717000,0.9631330000,-0.0035499340,0.1819649000,1.0421300000,-0.0070566230,0.2163036000,1.0086400000,-0.0045445690,0.2438954000,1.0007600000,-0.0058851640,0.3659438000,1.0421300000,-0.0056497190,0.2337247000,1.0736500000,-0.0047108220,0.2151959000,1.0273550000,-0.0058313480,0.2736019000,1.0322800000,-0.0064406220,0.2064350000,1.0756200000,-0.0075611480,0.2270785000,1.0500100000,-0.0072843800,0.2864915000,1.0342500000,-0.0059879910,0.2314086000,1.0401600000,-0.0044177170,0.2356380000,1.0391750000,-0.0066510810,0.2537640000,1.0194750000,-0.0045935800,0.2720914000,1.0214450000,-0.0034173160,0.2377527000,1.0273550000,-0.0038680250,0.2235540000,1.0352350000,-0.0068163730,0.2294953000,1.0224300000,-0.0049116710,0.2206890000,1.0480000000,-0.0073082320,0.2080782000,1.0540000000,-0.0037931420,0.2541483000,1.0200000000,-0.0065233760,0.2263842000,1.0260000000,-0.0041037320,0.2087901000,1.0790000000,-0.0081660520,0.2599452000,1.0530000000,-0.0064967540,0.2570976000,1.0010000000,-0.0048846440,0.1938402000,1.0390000000,-0.0071997720,0.2741832000,1.0180000000,-0.0037724360,0.2589282000,1.0210000000,-0.0043689660,0.2689965000,1.0260000000,-0.0058578260,0.2158074000,1.0590000000,-0.0075537460,0.2472327000,1.0550000000,-0.0040278100,0.2603520000,1.0380000000,-0.0040879560,0.1960776000,1.0430000000,-0.0060974240,0.3078459000,1.0390000000,-0.0033366240,0.2112309000,1.0300000000,-0.0061644720,0.2257740000,1.0420000000,-0.0058400780,0.2626911000,1.0220000000,-0.0068783360,0.2403171000,1.0040000000,-0.0049230980,0.2552670000,1.0640000000,-0.0050187400,0.2151972000,1.0500000000,-0.0073289380,0.3375423000,1.0340000000,-0.0043788260,0.2462157000,1.0280000000,-0.0078436300,0.2647251000,1.0240000000,-0.0043423440,0.2750985000,1.0360000000,-0.0066042280,0.2772342000,1.0350000000,-0.0047890020,0.2402154000,1.0230000000,-0.0051390320,0.2557755000,0.9919000000,-0.0036472140
18500,540.54,0.4393500000,1.0504600000,-0.0093634640,0.4737910000,1.0246940000,-0.0083780400,0.5864060000,0.9979370000,-0.0080179440,0.5715590000,1.0613610000,-0.0072832320,0.5190390000,1.0564060000,-0.0082154160,0.8240590000,1.1396500000,-0.0105608800,0.6483190000,1.0276670000,-0.0081195840,0.4981320000,1.0762260000,-0.0083131840,0.4831840000,1.0762260000,-0.0069908960,0.5261090000,1.0593790000,-0.0087236160,0.6053940000,1.0881180000,-0.0137456000,0.5213620000,1.1138840000,-0.0080634400,0.4827800000,1.0742440000,-0.0090943600,0.5866080000,1.0425320000,-0.0090537040,0.5449960000,1.1208210000,-0.0111900800,0.5340880000,1.0653250000,-0.0098252000,0.5712560000,1.0564060000,-0.0080324640,0.5656000000,1.0851450000,-0.0060848480,0.5393400000,1.1019920000,-0.0104060000,0.6035760000,1.0583880000,-0.0076017040,0.6740740000,1.1247850000,-0.0058989920,0.4810630000,1.0425320000,-0.0073703520,0.5022730000,1.0613610000,-0.0096800000,0.5192410000,1.0603700000,-0.0072754880,0.6207564000,1.0418650000,-0.0074734800,0.5241852000,1.0488440000,-0.0089012640,0.5858721000,1.0438590000,-0.0095457840,0.5446452000,1.0598110000,-0.0067226880,0.5952837000,1.0348860000,-0.0085775280,0.5838261000,1.0548260000,-0.0079458000,0.5554890000,1.0179370000,-0.0066154320,0.4837767000,1.0318950000,-0.0114439200,0.5434176000,1.0677870000,-0.0072520800,0.6380451000,1.0448560000,-0.0074016480,0.5850537000,1.0378770000,-0.0088904400,0.4984056000,1.0498410000,-0.0114045600,0.5910894000,1.0099610000,-0.0054503760,0.5807571000,1.0608080000,-0.0066646320,0.4646466000,1.0558230000,-0.0085893360,0.6033654000,1.0149460000,-0.0058784160,0.4870503000,1.0578170000,-0.0086296800,0.5276634000,1.0458530000,-0.0092761680,0.5895549000,1.0508380000,-0.0100466400,0.5676627000,1.0528320000,-0.0071438400,0.6472521000,1.0308980000,-0.0061519680,0.4818330000,1.0528320000,-0.0103123200,0.7370715000,1.0408680000,-0.0082291920,0.5490441000,1.0368800000,-0.0119260800,0.5861790000,1.0139490000,-0.0064363440,0.6303726000,1.0518350000,-0.0100466400,0.5699133000,1.0149460000,-0.0082567440,0.4838790000,1.0129520000,-0.0064343760,0.5921124000,1.0069700000,-0.0059177760
18250,547.95,0.7845950000,1.0228920000,-0.0110435500,0.8186990000,1.0298640000,-0.0112965300,1.0103310000,1.0059600000,-0.0077012950,0.9150225000,1.0139280000,-0.0075329660,0.8314880000,1.0189080000,-0.0092464190,0.9960195000,1.0059600000,-0.0106640800,0.9746030000,0.9550644000,-0.0083707190,0.7727195000,1.0428120000,-0.0120846600,0.7861175000,1.0348440000,-0.0083366640,0.8107820000,0.9774744000,-0.0101581200,1.2941250000,1.1075520000,-0.0161128800,0.8161615000,1.0388280000,-0.0079873570,0.7437920000,1.0607400000,-0.0085429400,0.9592765000,1.0577520000,-0.0093777740,0.8606185000,1.0766760000,-0.0132133400,0.8656935000,1.0458000000,-0.0128144100,0.9189810000,0.9711996000,-0.0096404840,0.8977675000,1.0597440000,-0.0079270310,0.8116955000,1.0408200000,-0.0124835900,0.8428560000,0.9896256000,-0.0096755120,0.9359315000,1.0089480000,-0.0083600160,0.7719075000,1.0278720000,-0.0080924410,0.7973840000,1.0716960000,-0.0113743700,0.8438710000,1.0308600000,-0.0079688700,0.9786283000,0.9916162000,-0.0095380490,0.8288917000,1.0119550000,-0.0119827700,0.9405266000,1.0089640000,-0.0099577900,0.8744905000,0.9922144000,-0.0075189670,1.0783500000,1.0737690000,-0.0107245300,0.9651746000,1.0079670000,-0.0088814050,0.9220406000,0.9837399000,-0.0070893960,0.7636772000,1.0299010000,-0.0129854300,0.9011925000,1.0358830000,-0.0086966010,1.0067680000,0.9885255000,-0.0075877770,0.9793472000,1.0318950000,-0.0101642200,0.8230378000,1.0538290000,-0.0126512100,0.9764716000,0.9932114000,-0.0066578590,0.9833525000,1.0109580000,-0.0071759000,0.7240350000,1.0209280000,-0.0106753800,1.0331620000,0.9945075000,-0.0064298030,0.7560774000,1.0159430000,-0.0101150700,0.8685339000,1.0229220000,-0.0115600800,0.8922576000,0.9876282000,-0.0104394600,0.8857875000,0.9755645000,-0.0078512210,1.0145730000,0.9683861000,-0.0063855680,0.7627529000,1.0259130000,-0.0118254900,1.1204570000,1.0069700000,-0.0095390320,0.8435778000,1.0089640000,-0.0123759700,1.0054330000,0.9844378000,-0.0073282650,1.0091300000,1.0019850000,-0.0119336200,0.9427860000,0.9774588000,-0.0087054480,0.8189298000,1.0149460000,-0.0094544940,0.9127976000,0.9900210000,-0.0067188050
18000,555.56,1.1529210000,0.9482175000,-0.0116032000,1.1539440000,0.9515340000,-0.0098392000,1.3616130000,0.9224895000,-0.0083182400,1.3483140000,0.9447000000,-0.0084623000,1.1651970000,0.9723375000,-0.0101332000,1.6153170000,0.9698250000,-0.0114758000,1.4127630000,0.9069120000,-0.0066228400,1.1733810000,0.9963570000,-0.0114464000,1.1355300000,1.0070100000,-0.0088954600,1.1897490000,0.9634935000,-0.0117208000,1.7073870000,1.0100250000,-0.0130438000,1.2081630000,1.0050000000,-0.0090267800,1.1191620000,0.9974625000,-0.0093688000,1.3963950000,0.9717345000,-0.0101430000,1.2552210000,1.0351500000,-0.0129262000,1.2112320000,0.9744480000,-0.0118482000,1.2818190000,0.9259065000,-0.0095657800,1.2695430000,0.9749505000,-0.0079909200,1.1989560000,0.9791715000,-0.0114072000,1.3820730000,0.9624885000,-0.0081349800,1.4148090000,1.0080150000,-0.0088739000,1.1385990000,0.9722370000,-0.0086877000,1.0894950000,0.9941460000,-0.0116914000,1.2470370000,0.9708300000,-0.0078899800,1.4100010000,0.9455548000,-0.0099086400,1.2507250000,0.9653951000,-0.0106655500,1.3303630000,0.9353854000,-0.0105181000,1.3079010000,0.9776582000,-0.0075101200,1.3752870000,0.9823441000,-0.0101249000,1.3660980000,0.9594131000,-0.0093443980,1.2844180000,0.9177385000,-0.0079878580,1.1343310000,1.0009880000,-0.0129166200,1.3160690000,0.9792534000,-0.0083437040,1.4549250000,0.9331920000,-0.0080271780,1.4079590000,0.9927129000,-0.0100364300,1.1639400000,0.9870300000,-0.0130444100,1.4110220000,0.9358839000,-0.0068888640,1.3936650000,0.9613074000,-0.0074275480,1.0802180000,0.9944078000,-0.0108424900,1.4957650000,0.9476485000,-0.0065939640,1.1088060000,0.9627032000,-0.0099479600,1.2752290000,0.9979970000,-0.0104296300,1.3181110000,0.9312977000,-0.0106164000,1.2588930000,0.9551260000,-0.0082886560,1.4835130000,0.9338899000,-0.0069714360,1.1149320000,0.9818456000,-0.0121203900,1.6897550000,0.9736702000,-0.0098300000,1.2200950000,0.9649963000,-0.0137816600,1.3997910000,0.9549266000,-0.0077283460,1.5161850000,0.9645975000,-0.0112062000,1.3763080000,0.9539296000,-0.0095272360,1.1659820000,0.9417662000,-0.0096127570,1.3640560000,0.9449566000,-0.0071296990
17750,563.38,1.5498450000,0.8857849000,-0.0109214400,1.5836040000,0.8829821000,-0.0084502080,1.8966420000,0.8517509000,-0.0074605440,1.8536760000,0.8327319000,-0.0071365120,1.5580290000,0.8808800000,-0.0097248640,1.9160790000,0.8331323000,-0.0110580800,1.8772050000,0.8038030000,-0.0052664960,1.6337310000,0.9488479000,-0.0127172800,1.4946030000,0.8988980000,-0.0082286560,1.4761890000,0.8725717000,-0.0125220800,2.5288560000,0.8450442000,-0.0145912000,1.5692820000,0.9430421000,-0.0073785600,1.4107170000,0.9394385000,-0.0068163840,1.9078950000,0.8998990000,-0.0098576000,1.6869270000,0.9362353000,-0.0125806400,1.6777200000,0.8973965000,-0.0099356800,1.7493300000,0.8394386000,-0.0081056800,1.7165940000,0.8710702000,-0.0072594880,1.6163400000,0.8866858000,-0.0102772800,1.7861580000,0.8449441000,-0.0073805120,1.6910190000,0.8727719000,-0.0090797280,1.5334770000,0.8989981000,-0.0091246240,1.5488220000,0.8845837000,-0.0094379200,1.6531680000,0.8798790000,-0.0076489120,1.8846800000,0.8559624000,-0.0100944900,1.6103600000,0.8456040000,-0.0090359910,1.8084800000,0.8312616000,-0.0088535250,1.7089120000,0.8952048000,-0.0070200360,1.8907760000,0.9464988000,-0.0097913610,1.9212560000,0.8900256000,-0.0088937460,1.8176240000,0.8093496000,-0.0059262210,1.5412720000,0.9126348000,-0.0120368700,1.7393920000,0.8931132000,-0.0090820980,1.9781520000,0.8321580000,-0.0071289270,1.8846800000,0.8915196000,-0.0092979180,1.6469360000,0.9635304000,-0.0132336900,1.8765520000,0.8760816000,-0.0066551040,1.9182080000,0.8361420000,-0.0064510560,1.4406880000,0.9095472000,-0.0098884800,1.9466560000,0.8431140000,-0.0057280590,1.5128240000,0.8875356000,-0.0095892750,1.6692880000,0.8972964000,-0.0104280300,1.8633440000,0.8953044000,-0.0107910000,1.7068800000,0.8452056000,-0.0074869920,1.9751040000,0.8565600000,-0.0066443130,1.5524480000,0.9196068000,-0.0110068200,2.1468080000,0.8959020000,-0.0111343500,1.6032480000,0.8768784000,-0.0123311700,1.9730720000,0.8741892000,-0.0068140260,2.0350480000,0.8694084000,-0.0108302400,1.8369280000,0.8691096000,-0.0083816640,1.5839440000,0.8673168000,-0.0089898840,1.8064480000,0.8599464000,-0.0061106490
17500,571.43,1.9668780000,0.7517225000,-0.0090001990,1.9831500000,0.7335140000,-0.0081787330,2.4438510000,0.7199820000,-0.0062076030,2.3238450000,0.7380910000,-0.0087623040,1.9506060000,0.7448570000,-0.0091652690,2.7174240000,0.6904305000,-0.0081233860,2.3340150000,0.6985895000,-0.0060308810,2.0665440000,0.7684385000,-0.0081447480,1.9190790000,0.7975920000,-0.0068455500,2.0024730000,0.7643590000,-0.0098459400,2.5953840000,0.7590855000,-0.0095565820,2.1794310000,0.7761000000,-0.0078728680,1.8845010000,0.7717220000,-0.0083350640,2.4204600000,0.7766970000,-0.0085826690,2.2038390000,0.8225665000,-0.0105644800,2.0634930000,0.7523195000,-0.0095109450,2.1794310000,0.7339120000,-0.0071446180,2.1916350000,0.7763985000,-0.0075805970,2.0828160000,0.7689360000,-0.0090594300,2.2140090000,0.7003805000,-0.0054172090,2.5140240000,0.8142085000,-0.0054074990,1.8509400000,0.7416730000,-0.0081418350,1.8997560000,0.7640605000,-0.0092555720,2.1031560000,0.7517225000,-0.0069436210,2.3883200000,0.7377468000,-0.0078133990,2.2081840000,0.7545454000,-0.0066640530,2.3660560000,0.7533526000,-0.0084947830,2.2496760000,0.7750218000,-0.0061608470,2.3488520000,0.7624974000,-0.0082794030,2.5208920000,0.7620998000,-0.0067178980,2.2415800000,0.7317828000,-0.0066591580,1.9906040000,0.7860552000,-0.0107983700,2.1292480000,0.7704494000,-0.0073885130,2.4986280000,0.7208488000,-0.0064829380,2.5340480000,0.8111040000,-0.0088824670,2.0786480000,0.8061340000,-0.0101620200,2.3994520000,0.7516628000,-0.0056948430,2.3812360000,0.7664734000,-0.0060639260,1.9298840000,0.8021580000,-0.0079739550,2.5421440000,0.7335720000,-0.0049165380,2.0493000000,0.7866516000,-0.0078966140,2.1454400000,0.7801906000,-0.0090077790,2.2456280000,0.7343672000,-0.0087405120,2.2415800000,0.7589190000,-0.0065563630,2.5573240000,0.7384426000,-0.0072211040,1.9642920000,0.7779044000,-0.0095521030,2.7344240000,0.7112070000,-0.0093749040,2.0756120000,0.7582232000,-0.0120808600,2.4713040000,0.7616028000,-0.0065475520,2.5087480000,0.7823774000,-0.0101130700,2.3954040000,0.7707476000,-0.0088070840,2.2264000000,0.8008658000,-0.0094718250,2.2395560000,0.7326774000,-0.0048724830
17250,579.71,2.3345280000,0.5964314000,-0.0076341840,2.3214240000,0.5762184000,-0.0061033110,2.8344960000,0.5691192000,-0.0053940930,2.6016480000,0.5423986000,-0.0079935980,2.4040800000,0.6057984000,-0.0066606910,2.7961920000,0.5607382000,-0.0082924690,2.7961920000,0.5495964000,-0.0046329810,2.5270560000,0.6353784000,-0.0094735380,2.2085280000,0.6459286000,-0.0065866940,2.4948000000,0.6313358000,-0.0075697970,3.2074560000,0.5137060000,-0.0081233330,2.6147520000,0.6261100000,-0.0057016130,2.1883680000,0.6809316000,-0.0065982260,2.8838880000,0.6213772000,-0.0068394370,2.5895520000,0.6413930000,-0.0091823550,2.5522560000,0.6126018000,-0.0095677160,2.5542720000,0.5413140000,-0.0061753860,2.6026560000,0.5879518000,-0.0051903610,2.4060960000,0.5996852000,-0.0077668020,2.7135360000,0.5793736000,-0.0053518090,2.5230240000,0.5970230000,-0.0062705250,2.3476320000,0.6098410000,-0.0047261980,2.2851360000,0.6030376000,-0.0079474700,2.4534720000,0.5828246000,-0.0056497190,2.7944250000,0.5726310000,-0.0070381240,2.5839620000,0.5998285000,-0.0081367960,2.8044950000,0.5896418000,-0.0066232000,2.6101440000,0.6199052000,-0.0047443540,2.9021740000,0.6397841000,-0.0067186520,2.9172790000,0.6098174000,-0.0056871860,2.7632080000,0.5675871000,-0.0047657820,2.4651360000,0.6340479000,-0.0086257440,2.6554590000,0.6018065000,-0.0066874840,2.9424540000,0.5692684000,-0.0048573380,2.8971390000,0.6178283000,-0.0066748220,2.6000740000,0.6644102000,-0.0081173160,2.8689430000,0.6113009000,-0.0051602520,2.7058090000,0.5908286000,-0.0049732440,2.2315120000,0.6400808000,-0.0071861720,2.9605800000,0.5811364000,-0.0043985840,2.5809410000,0.6470038000,-0.0068618300,2.6846620000,0.6492785000,-0.0069056600,2.7531380000,0.6119932000,-0.0075855120,2.5900040000,0.5908286000,-0.0051923940,2.7219210000,0.5550268000,-0.0039632060,2.3815550000,0.6338501000,-0.0084621120,3.3674080000,0.5930044000,-0.0064732040,2.5054160000,0.6266304000,-0.0091039780,3.0119370000,0.6150591000,-0.0051592780,2.9857550000,0.5958725000,-0.0077413520,2.8246350000,0.6189162000,-0.0060280860,2.4560730000,0.6129822000,-0.0063826220,2.4943390000,0.5522576000,-0.0045135160
17000,588.24,2.7580080000,0.4505086000,-0.0064347000,2.7115020000,0.4474365000,-0.0052277720,3.0208680000,0.4056163000,-0.0053116400,2.8297890000,0.3905531000,-0.0097074800,2.8004700000,0.4624997000,-0.0058023160,3.5081700000,0.3799494000,-0.0048980840,3.0673740000,0.3945171000,-0.0055854160,2.9066250000,0.4755809000,-0.0076136720,2.7024030000,0.5094731000,-0.0054138240,2.7984480000,0.4697340000,-0.0062197280,3.5506320000,0.3690484000,-0.0058399120,3.0067140000,0.4777611000,-0.0051487240,2.5244670000,0.4893558000,-0.0051737880,3.1654410000,0.4450581000,-0.0060327120,3.0137910000,0.4907432000,-0.0077447760,2.8489980000,0.4639862000,-0.0061406800,2.8985370000,0.4144362000,-0.0054417800,2.7893490000,0.4339589000,-0.0060163240,2.8267560000,0.4661664000,-0.0062052680,3.1078140000,0.4443644000,-0.0045028440,3.1401660000,0.4584366000,-0.0038569640,2.6286000000,0.4515987000,-0.0049482120,2.6195010000,0.4514996000,-0.0065176040,2.8318110000,0.4458509000,-0.0050185840,3.1799660000,0.4323696000,-0.0062048800,2.9546220000,0.4472280000,-0.0066172480,3.2866020000,0.4535256000,-0.0052426880,3.0874140000,0.4708440000,-0.0035186800,3.1980740000,0.4829472000,-0.0054788800,3.3620520000,0.4551984000,-0.0040510800,3.1829840000,0.4530336000,-0.0039020080,2.8097580000,0.4744848000,-0.0064459120,2.9898320000,0.4587408000,-0.0048835600,3.3771420000,0.4340424000,-0.0035535280,3.2463620000,0.4755672000,-0.0055824560,2.8932560000,0.4932792000,-0.0068321440,3.3519920000,0.4490976000,-0.0036861440,3.1709120000,0.4471296000,-0.0038206960,2.6699240000,0.4833408000,-0.0052697920,3.3741240000,0.4294176000,-0.0034867360,2.8459740000,0.4786176000,-0.0051555680,3.0572340000,0.4826520000,-0.0054120880,3.2584340000,0.4754688000,-0.0054701680,2.9928500000,0.4453584000,-0.0040181680,3.2604460000,0.4293192000,-0.0046231680,2.7916500000,0.4831440000,-0.0058254240,3.8107280000,0.4463424000,-0.0052301040,2.8379260000,0.4734024000,-0.0072077280,3.3711060000,0.4606104000,-0.0042117680,3.4646640000,0.4615944000,-0.0057208800,3.1638700000,0.4614960000,-0.0050345680,2.7634820000,0.4607088000,-0.0056279520,2.9747420000,0.4252848000,-0.0034364000
